ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D03GCJ,,CIBA Vision Sterile Mfg,Antihypertensive Agents,Small molecular drug,Approved
D03HCZ,,Xanodyne Pharmaceutics Inc,Neurology Agents,Small molecular drug,Approved
D03HFG,,IVAX Pharmaceuticals,Antidepressants,Small molecular drug,Approved
D03HYQ,,CV Therapeutics,Analgesics,Small molecular drug,Approved
D03HYX,,Schering-Plough,Antiinflammatory Agents,Small molecular drug,Approved
D03IGH,,Tibotec,Antiviral Agents,Small molecular drug,Approved
D03IKT,,Eli Lilly And Co,Antiinflammatory Agents,Small molecular drug,Approved
D03JSJ,,GlaxoSmithKline,Antibiotics,Small molecular drug,Approved
D03KOZ,,Eskayef Bangladesh Limited,Hypoglycemic Agents,Small molecular drug,Approved
D03KQF,,Norvatis Phamaceuticals Corporation,Antidepressants,Small molecular drug,Approved
D03LGY,,Abbott Laboratories,Anticonvulsants,Small molecular drug,Approved
D03LJR,,Wyeth,Immunosuppressive Agents,Small molecular drug,Approved
D03LWG,Truseltiq,BridgeBio,,Small molecular drug,Approved
D03MIR,,Pfizer Pharmaceuticals,Antihypertensive Agents,Small molecular drug,Approved
D03NHW,,Janssen Pharmaceutica,Antibiotics,Small molecular drug,Approved
D03NPH,,Schering-Plough,Hypnotics and Sedatives,Small molecular drug,Approved
D03OFF,,Takeda Pharmaceuticals,Hypoglycemic Agents,Small molecular drug,Approved
D03QGM,,Arrow Generics,Antipsychotic Agents,Small molecular drug,Approved
D03ROX,,Lorex Pharmaceuticals,Antihypertensive Agents,Small molecular drug,Approved
D03RTS,,Pfizer,Analgesics,Small molecular drug,Approved
D03SKD,,Watson Laboratories,Analgesics,Small molecular drug,Approved
D03SKR,,Intas Pharmaceuticals,Antihypertensive Agents,Small molecular drug,Approved
D03SRY,,Pfizer Pharmaceuticals,Anticancer Agents,Small molecular drug,Approved
D03SSE,,Recordati Rare Diseases Inc,Anticancer Agents,Small molecular drug,Approved
D03SVX,,Norvatis Phamaceuticals Corporation,Antihypertensive Agents,Small molecular drug,Approved
D03UQM,,GlaxoSmithKline,Antibiotics,Small molecular drug,Approved
D03UVS,,Eli Lilly,Anticancer Agents,Small molecular drug,Approved
D03VPC,,Otsuka Pharmaceutical Co,Vasodilator Agents,Small molecular drug,Approved
D03VZH,,Abbott Laboratories,Hypnotics and Sedatives,Small molecular drug,Approved
