disease_name,icd11_code
Cerebral salt-wasting syndrome,5C72
Cancer related pain,MG30
Acute lymphoblastic leukaemia,2A85
Poliovirus infection,1C8Y
Diabetic nephropathy,GB61.Z
Infantile spasm,8A62.0
Bronchopulmonary dysplasia,KB29.0
Duchenne dystrophy,8C70
Malnutrition,5B50-5B71
Muscular dystrophy,8C70
Polycythemia vera,2A20.4
Thyroid cancer,2D10
Type-1/2 diabetes,5A10-5A11
Diarrhea,ME05.1
Cataract,9B10
Acid-reflux disorder,DA22
Constitutional neutropenia,4B00.0
Hospital-acquired pneumonia,CA40.Z
Ventilator-associated pneumonia,PK81.0
Healthcare-associated pneumonia,CA00-CA40
Aplastic anemia,3A70
Hypertriglyceridemia,5C80.1
Iron overload disease,5C64.10
Hepatic encephalopathy,DB99.5
Haemophilia B,3B11.0
Infestations of lice and scabies,1G00.Z
Cognitive impairment,6D71
Mature gastrointestinal nematode infection,1F6Y
Bipolar disorder,6A60
Vertigo meniere disease,AB31.0
Alopecia,ED70
Opioid-induced constipation,DB32.1
Neisseria gonorrhoeae infection,1A7Z
Abdominal stomach pain,DD91.4
Myelofibrosis,2A20.2
Dermatitis herpetiformis,EB44
Neuroendocrine cancer,2B72.1
Metastatic colorectal cancer,2B91
Penile squamous cancer,2C81
Severe sepsis,1G40-1G41
Paget's disease,FB85
Non-cystic fibrosis bronchiectasis,CA24
Bleeding disorder,GA20-GA21
Factor IX deficiency,3B11
Brain disease,8C70-8E61
Bronchiectasis,CA24
Renal failure,GB60-GB6Z
Psychotic disorder,6A20-6A25
Bladder disease,DC11-DC1Z
Wound healing,EL8Y
Retina venous occlusion,9B74.1
Delayed methotrexate clearance,N.A.
Schistosomiasis,1F86
Respiratory distress syndrome,CB00
Deep venous clot,BD71
Investigative surgical procedure,QB8Z
Vulnerary,ND56.Z
Acute coronary syndrome,BA41
Abdominal aortic aneurysm,BD50.4
Blood brain barrier,5C61.5
Anorexia nervosa cachexia,6B80
Community-acquired pneumonia,CA40.Z
infection associated with diabetic foot ulcers,BD54
Adverse reactions to acetaminophen or acetaminophen overdose,PB24
Ophthalmic disease,5A02.0
Mucopolysaccharidosis,5C56.3
Cytomegalovirus retinitis,9B72.00
Hypocholesterolemia,5C81
Synthesis disorder,5C52-5C59
Peroxisomal disorder,5C57
Acquired nystagmus,9C84
Lymphoma,2A80-2A86
Infectious disease,1A00-CA43.1
Marginal zone lymphoma,2A85.0
Eosinophilic asthma,CB02.0
Gastrinoma,2C10.1
Pancreatic exocrine dysfunction,DC3Z
Oral mucositis,DA01.11
Central precocious puberty,5A60.3
Polycystic ovarian syndrome,5A80.1
Cholangiocarcinoma,2C12.10
Myeloproliferative syndrome,2A22
Itching,1F28-1G07
Hyperaemia,9A61-9B7Y
Ophthalmic graves disease,5A02.0
Fecal incontinence,ME07
Uveitis,9A96.Z
Malignant pleural effusion,2D72
Scar tissue,QB83
Diabetic retinopathy,9B71.0
Brain injury,NA07.Z
Xerophthalmia,5B55.Y
Biliary cancer,2E92.7
Dravet syndrome,8A61.11
LennoxGastaut syndrome,8A62.1
Hypercholesterolaemia,5C80.0
Mammary analogue secretory carcinoma,2C60
Neuroblastoma,2D11.2
Ischemia,8B10-8B11
Sinus rhythm disorder,BC9Y
Chronic kidney disease,GB61
Von hippel-lindau disease,5A75
Pulmonary disease,1B10-1F85
Skin ulcer,ME60.Z
Venous thrombosis,BA43
Dysuria,MF50.7
Nocturia,MF55
Suprapubic pain,MG30-MG3Z
Urgency,N.A.
Ataxia-telangiectasia,4A01.31
Gastrointestinal infection,1A40.Z
Ulcerative colitis,DD71
Intra-abdominal infection,1A40
Diabetes insipidus,5A61.5
Enuresis,6C00
Polyuria,MF55
Kidney transplant rejection,NE84
Heart transplant rejection,NE84
Central nervous system disease,8A04-8D87
Invasive aspergillosis,1F20.0
Candidiasis,1F23
Moderate and severe hypertension,BA00.Z
Spinal stenosis,FA82
Hyperparathyroidism,5A51
Thalassemia,3A50
Lipid metabolism disorder,5C52.Z
Fabry disease,5C56.01
Intra ocular pressure reduction,9C40
Cholestasis of parenteral nutrition,DB99.60
Anca-associated vasculitis,4A44.A
Hereditary haemolytic anemia,3A10.3
Eosinophilic granulomatosis with polyangiitis,4A44.A2
Colitis,1A40.Z
Smallpox,1E70
Pediatric lennox-gastaut syndrome,8A62.1
Pneumocystis pneumonia,CA40.20
Cervical cancer,2C77.0
Respiratory disease,CB40
Haemorrhage,MG27
Large B-cell lymphoma,2A81
Richter syndrome,2A81.Y
Central nervous system lymphoma,2B33.5
Precursor B-lymphoblastic neoplasm,2A70
Primary biliary cholangitis,DB96.1
Fatigue,MG22
Metal intoxication,NE60
Thllium and radioactive isotopes of caesium poisoning,NE61
Arrhythmia,BC9Z
Congestive cardiac insufficiency,BD1Z
Autism spectrum disorder,6A02
Lactation failure,JB46.3
Excessive daytime sleepiness,MG42
Acromegaly,5A60.0
Otitis media,AA80-AB0Z
Varicose veins,BD74-BD75
Pancreatic ductal carcinoma,2C10.0
Biliary tract cancer,2C17
Flatworm infection,1F70-1F86
Skin inflammation,EF20.Y
Autoimmune diabetes,5A10
Pyoderma gangrenosum,EB21
Lupus nephritis,4A40.0Y
Kidney disease,GC2Z
Reproduction,JA00-JA02
Peripheral T-cell lymphoma,2A90.C
Hyperuricaemia,5C55.Y
Tachyarrhythmias,BC71
Acute radiation syndrome,NF00
Procedural sedation,JB0C.3
Open-angle glaucoma,9C61
Acquired immune deficiency syndrome,1C62.3
Coronavirus infection,1D92
Inflammatory arthritis,FA2Z
Haemostatic astringent,MG27
Congenital adrenal hyperplasia,5A71.01
Vibrio cholerae infection,1A00
Cutaneous squamous cell carcinoma,2C30
Sarcoptes scabiei infection,1G04
Gastric motility disorder,DA21
Obstructive airway disease,CB40.Y
Eczema,EA80-EA89
Vitamin D deficiency,5B57
Chronic heart failure,BD1Z
Acute asthma,CA23
Acute pain,MG31
Dysrhythmias,BC9Z
Kidney cancer,2C90.0
Pediculus capitis infestation,1G00.0
Postmenopausal osteoporosis,FB83.11
Heroin and opiate withdrawal,6C43
Fibromyalgia,MG30.01
Osteopetrosis,LD24.10
Pancreatitis,DC31-DC34
Dermatological disease,DA24.Y
Chronic bronchitis,CA20.1
Tardive dyskinesia,8A02.10
Elevated C-reactive protein,MA14.15
Psychiatric disorder,6E8Z
Plasma cell myeloma,2A83.1
Cestodes infection,1F70-1F76
Metabolic disorder,5C50-5D2Z
Malignant mesothelioma,2C26.0
Pediatric cancer,2A00-2F9Z
Dysbetalipoproteinemia,5C80.2
Motor symptoms,6A25.4
Worm infection,1F90.Z
Fertility problem,5A61
Immunodeficiency,4A00-4A85
Vascular purpura,3B60
Heart block,BC63
Hyperthermia,MG26
Bone induction,FC0Z
Sciatica,ME84.3
Sarcoidosis,4B20.5
Transplant rejection,NE84
Neurogenic orthostatic hypotension,8D87.0Y
Anal fissure,DB50.0
Amyotrophic lateral sclerosis,8B60.0
Hypoalbuminemia,5C53.2
HCV-1 and HCV-4 infection,1E51
Sepsis,1G40-1G41
Type 1 gaucher disease,5C56.0Y
LambertEaton myasthenic syndrome,8C62
Familial hypercholesterolemia,5C80.00
Fibrodysplasia ossificans progressiva,FB31.1
Sexual dysfunction,HA00-HA01
Cytomegalovirus infection,1D82
Localisation,N.A.
Staining,N.A.
Coronary artery disease,BA80
Acute or chronic pain,MG30-MG31
Hypophosphatasia,5C64.3
Primary hypercholesterolemia,5C80.00
Hepatitis C,1E51
Macular degeneration,9B78.3
Nutritional deficiency,5B50-5B71
Cytomegalovirus Disease,1D82
Hypocalcemia,5B5K.1
Rosacea,ED90.0
Increase blood pressure,BA04
Respiratory tract inflammation,CA07
Heart disease,BA41-BA42
Primary biliary cirrhosis,DB96.1
Kaposi sarcoma,2B57
Hyperglyceridemia,5C80.1
Spinal cord injury,ND51.2
Dyslipidemia,5C80-5C81
Rabies,1C82
Porphyria,5C58.1
Hepatic veno-occlusive disease,DB98.6
Oral lichen planus,EA91.4
Acute iron or aluminum toxicity,FB83.20
Postoperative hemorrhage,NE81.0Z
Chagas disease,IF53
Convulsion,8A68.Z
Tibial nonunions,FB80.8
Interstitial cystitis,GC00.3
Painful bladder syndrome,MG30.50
Muscle fatigue,FB32.5
Piscicide,N.A.
Duchenne muscular dystrophy,8C70.1
Inflammatory bowel disease,DD72
Substance use disorder,6C4Z
Prostate hyperplasia,GA90
Growth failure,LD2F.1Y
Gynecological disease,GA6Z
Menstrual disorder,GA20.3
infection in the ear canal,AA0Y
Pediatric immunological disease,GB4Z
Periodontal disease,DA0C
Cutaneous candidiasis,1F23.14
Tinea cruris,1F28.3
Tinea corporis,1F28.Y
Tinea versicolor,1F2D.0
Graves disease,5A02.0
Hyperlipoproteinemia,5C80
Dry cough,MD12
Neuromuscular disease,8C6Y
Acute bacterial skin infection,1C41
Tinnitus,MC41
