ttd_drug_id,drug_name,disease_name,icd11_code,clinical_status
D0Y5UG,Amitriptyline,Depression,6A70-6A7Z,Approved
D0Y5RZ,Brovincamine fumarate,Cerebral vasodilator,BA00-BE2Z,Approved
D0Y5OY,MK-3641,Allergy,4A80-4A85,Approved
D0Y5JC,Avanafil,Erectile dysfunction,HA01.1,Approved
D0Y5GK,Bromodiphenhydramine,Hay fever,CA08.00,Approved
D0Y5DO,Citalopram,Depression,6A70-6A7Z,Approved
D0Y5AM,Darifenacin,Overactive bladder,GC50.0,Approved
D0Y4YG,Iodixanol,Cardiovascular disease,BA00-BE2Z,Approved
D0Y4SI,Ponesimod,Multiple sclerosis,8A40,Approved
D0Y4SI,Ponesimod,Psoriasis vulgaris,EA90,Phase 2
D0Y4QG,Bedaquiline,Multi-drug resistant tuberculosis,MG52.00,Approved
D0Y4KE,Collagenase,Dermal ulcers,1A36,Approved
D0Y4KE,Collagenase,Skin burns,ME65.0,Approved
D0Y4JJ,Bepridil,Chronic/stable angina,BA40.1,Approved
D0Y4GO,Pemetrexed,Malignant pleural mesothelioma,2C26.0,Approved
D0Y4AW,Meprobamate,Malaria,1F40-1F45,Approved
D0Y4AW,Meprobamate,Anxiety disorder,6B00-6B0Z,Approved
D0Y4AW,Meprobamate,Ischemic reperfusion injury,DB98.B,Discontinued in Phase 1
D0Y3VQ,Ryzodeq,Type-2 diabetes,5A11,Approved
D0Y3TM,Iron,Iron-deficiency anemia,3A00,Approved
D0Y3MO,Amikacin,Bacterial infection,1A00-1C4Z,Approved
D0Y3MO,Amikacin,Tuberculosis,1B10-1B1Z,Investigative
D0Y3ME,Oxaliplatin,Colorectal cancer,2B91.Z,Approved
D0Y3KG,Valproate,Epilepsy,8A60-8A68,Approved
D0Y3KG,Valproate,Alcohol dependence,6C40.2,Phase 2
D0Y2YP,Flurandrenolide,Inflammation,1A00-CA43.1,Approved
D0Y2TK,Tetanus toxoid,Clostridium infection,1A04,Approved
D0Y2SW,Ixazomib,Multiple myeloma,2A83,Approved
D0Y2NE,Diethylstilbestrol,Gonorrheal vaginitis,GA02,Approved
D0Y2MC,Alkavervir,High blood pressure,BA00,Approved
D0Y2LR,Doxylamine,Morning sickness,SC00,Approved
D0Y2IZ,Trichlormethiazide,Hypertension,BA00-BA04,Approved
D0Y2IE,Cefuroxime,Acute bronchitis,CA42,Approved
D0Y2FY,Pediarix Vaccine,Diphtheria,1C17,Approved
D0Y2DI,Chlorproguanil,Malaria,1F40-1F45,Approved
D0Y2CJ,Minoxidil,Hypertension,BA00-BA04,Approved
D0Y1UC,Trofosfamide,Non-hodgkin lymphoma,2B33.5,Approved
D0Y1KF,Feraheme/Rienso,Iron-deficiency anemia,3A00,Approved
D0Y1IT,Sodium thiosalicylate,Gout,FA25,Approved
D0Y1AA,Chymopapain,Musculoskeletal disorder,FA00-FC0Z,Approved
D0Y0SW,Flutamide,Prostate cancer,2C82.0,Approved
D0Y0JH,Salsalate,Rheumatoid arthritis,FA20,Approved
D0Y0GH,Mitomycin,Solid tumour/cancer,2A00-2F9Z,Approved
D0Y0GH,Mitomycin,Gastrointestinal cancer,2C11,Approved
D0Y0GH,Mitomycin,Breast cancer,2C60-2C65,Approved
D0Y0ER,Thiethylperazine,Nausea,MD90,Approved
D0XX6Y,Pipecuronium,Spasm,MB47.3,Approved
D0XW2H,Mometasone furoate/ formoterol fumarate,Asthma,CA23,Approved
D0XV5B,Human insulin zinc suspension,Diabetic complication,5A2Y,Approved
D0XT5Y,Sargramostim,Bone marrow transplantation,QB63.6,Approved
D0XQ5X,Halaven,Breast cancer,2C60-2C65,Approved
D0XQ5X,Halaven,Bladder cancer,2C94,Phase 1/2
D0XQ2X,Calcium Chloride,Magnesium intoxication,5C64.4,Approved
D0XQ0Q,Cefsulodin,Pseudomonas infection,1B92,Approved
D0XN8C,Rosaprostol,Ulcer,CA02-CB40,Approved
D0XN1F,Nimodipine,Cerebral vasospasm,BA85.Z,Approved
D0XM9Y,Pinazepam,Anxiety disorder,6B00-6B0Z,Approved
